session_id,unit_id,phase,mode,predicted_label,accepted_label,raw_json,model,created_at
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence01,normal,prompt1,EXPLANATION,EXPLANATION,"{""raw_text"":""{\""label\"":\""EXPLANATION\""}"",""provider"":""qwen"",""request_id"":""682d691d-6d78-4715-a1e2-c15de3c8238b""}",qwen-plus,2026-03-24T07:10:40.339Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence02,normal,prompt1,EVALUATION,EVALUATION,"{""raw_text"":""{\""label\"":\""EVALUATION\""}"",""provider"":""qwen"",""request_id"":""2e3288c8-9622-439a-ad53-80987b16a7c0""}",qwen-plus,2026-03-24T07:10:43.229Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence03,normal,prompt1,RESPONSIBILITY,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""RESPONSIBILITY\""}"",""provider"":""qwen"",""request_id"":""598ddb88-9703-439d-afb9-346f3867e9bd""}",qwen-plus,2026-03-24T07:10:45.414Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence04,normal,prompt1,APPLICATION,APPLICATION,"{""raw_text"":""{\""label\"":\""APPLICATION\""}"",""provider"":""qwen"",""request_id"":""11e5f246-92e9-413d-9433-676b11942f73""}",qwen-plus,2026-03-24T07:10:47.553Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence05,normal,prompt1,IMPLICATION,IMPLICATION,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""ffce0ed9-21e8-48c5-a498-8dc6c85fc455""}",qwen-plus,2026-03-24T07:10:49.561Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence01,normal,prompt1,EXPLANATION,EXPLANATION,"{""raw_text"":""{\""label\"":\""EXPLANATION\""}"",""provider"":""qwen"",""request_id"":""4c884de7-e334-4090-9983-33deae88f346""}",qwen-plus,2026-03-24T07:12:02.496Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence02,normal,prompt1,EVALUATION,EVALUATION,"{""raw_text"":""{\""label\"":\""EVALUATION\""}"",""provider"":""qwen"",""request_id"":""aba0e95f-4f42-4091-add5-9181837319c3""}",qwen-plus,2026-03-24T07:12:04.486Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence03,normal,prompt1,RESPONSIBILITY,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""RESPONSIBILITY\""}"",""provider"":""qwen"",""request_id"":""8222edb6-eeaf-4b98-a09c-8ee252ef9c73""}",qwen-plus,2026-03-24T07:12:05.836Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence04,normal,prompt1,APPLICATION,APPLICATION,"{""raw_text"":""{\""label\"":\""APPLICATION\""}"",""provider"":""qwen"",""request_id"":""6daa03c9-3c63-4cf8-953e-d8041fb65339""}",qwen-plus,2026-03-24T07:12:07.441Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence05,normal,prompt1,IMPLICATION,IMPLICATION,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""1768b052-72a1-4b37-8711-d32c2228c7c7""}",qwen-plus,2026-03-24T07:12:08.884Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence01,normal,prompt1,EXPLANATION,EXPLANATION,"{""raw_text"":""{\""label\"":\""EXPLANATION\""}"",""provider"":""qwen"",""request_id"":""51e22ec3-2cdb-4ac7-bc18-ef3e3cafd0f6""}",qwen-plus,2026-03-24T07:13:49.131Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence02,normal,prompt1,EVALUATION,EVALUATION,"{""raw_text"":""{\""label\"":\""EVALUATION\""}"",""provider"":""qwen"",""request_id"":""f95a48db-51f8-4e94-9a7b-5c19ab09eaf6""}",qwen-plus,2026-03-24T07:13:50.373Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence03,normal,prompt1,RESPONSIBILITY,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""RESPONSIBILITY\""}"",""provider"":""qwen"",""request_id"":""ce39928b-17cd-474e-811f-79d01954a778""}",qwen-plus,2026-03-24T07:13:51.730Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence04,normal,prompt1,APPLICATION,APPLICATION,"{""raw_text"":""{\""label\"":\""APPLICATION\""}"",""provider"":""qwen"",""request_id"":""8199216e-9c62-4b51-8f1e-18a65dc441cc""}",qwen-plus,2026-03-24T07:13:53.049Z
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence05,normal,prompt1,IMPLICATION,IMPLICATION,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""24d74ea2-001e-4871-abbb-d6530d2adf61""}",qwen-plus,2026-03-24T07:13:54.174Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence01,normal,prompt1,EXPLANATION,EXPLANATION,"{""raw_text"":""{\""label\"":\""EXPLANATION\""}"",""provider"":""qwen"",""request_id"":""fb49f392-31e1-4d2f-8f6a-04614bf92ca2""}",qwen-plus,2026-03-24T07:14:01.056Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence01,normal,prompt2,CODE,,"{""raw_text"":""{\""label\"":\""CODE\""}"",""provider"":""qwen"",""request_id"":""f9f7e229-926c-40f1-849d-30a3effc2f60""}",qwen-plus,2026-03-24T07:14:39.501Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence02,normal,prompt1,EVALUATION,EVALUATION,"{""raw_text"":""{\""label\"":\""EVALUATION\""}"",""provider"":""qwen"",""request_id"":""5f8cd4fa-19eb-4272-8cc0-3a0d9bfc3b9d""}",qwen-plus,2026-03-24T07:14:02.290Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence02,normal,prompt2,IMPLICATION,,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""b7df1736-0354-4f5d-bcf2-aa900eaab4b2""}",qwen-plus,2026-03-24T07:14:40.803Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence03,normal,prompt1,RESPONSIBILITY,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""RESPONSIBILITY\""}"",""provider"":""qwen"",""request_id"":""e2996292-c743-4778-a4c4-ff22a9df5e56""}",qwen-plus,2026-03-24T07:14:03.925Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence03,normal,prompt2,RESPONSIBILITY,,"{""raw_text"":""{\""label\"":\""RESPONSIBILITY\""}"",""provider"":""qwen"",""request_id"":""5017b629-ccfc-44bf-afb5-839053cd1ded""}",qwen-plus,2026-03-24T07:14:42.012Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence04,normal,prompt1,APPLICATION,APPLICATION,"{""raw_text"":""{\""label\"":\""APPLICATION\""}"",""provider"":""qwen"",""request_id"":""e08444fa-68ea-4d5d-adcd-14ea2d02044c""}",qwen-plus,2026-03-24T07:14:05.392Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence04,normal,prompt2,APPLICATION,,"{""raw_text"":""{\""label\"":\""APPLICATION\""}"",""provider"":""qwen"",""request_id"":""a74ac56c-dd7f-4edb-9106-4205492cf587""}",qwen-plus,2026-03-24T07:14:43.559Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence05,normal,prompt1,IMPLICATION,IMPLICATION,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""bd66a3f9-9fef-4d3d-9fd3-f8fc2f0389e3""}",qwen-plus,2026-03-24T07:14:06.574Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0001_sentence05,normal,prompt2,IMPLICATION,,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""015fc2aa-509b-4929-ada1-7d20f2976a2f""}",qwen-plus,2026-03-24T07:14:44.936Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0002_sentence01,normal,prompt2,EXPLANATION,EXPLANATION,"{""raw_text"":""{\""label\"":\""EXPLANATION\""}"",""provider"":""qwen"",""request_id"":""742cdeca-8ed2-48d8-8df5-5a37b1761b99""}",qwen-plus,2026-03-24T07:14:48.333Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0002_sentence02,normal,prompt2,EVALUATION,EVALUATION,"{""raw_text"":""{\""label\"":\""EVALUATION\""}"",""provider"":""qwen"",""request_id"":""e42616f3-be77-44d6-9109-e37acb518a4a""}",qwen-plus,2026-03-24T07:14:49.916Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0002_sentence03,normal,prompt2,RESPONSIBILITY,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""RESPONSIBILITY\""}"",""provider"":""qwen"",""request_id"":""16492f81-25f6-4c06-b83f-7356430d84ae""}",qwen-plus,2026-03-24T07:14:51.387Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0002_sentence04,normal,prompt2,APPLICATION,APPLICATION,"{""raw_text"":""{\""label\"":\""APPLICATION\""}"",""provider"":""qwen"",""request_id"":""ed8d1f18-34be-421f-8308-cd557314d4ad""}",qwen-plus,2026-03-24T07:14:52.591Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0002_sentence05,normal,prompt2,IMPLICATION,IMPLICATION,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""ab61e998-c677-4cad-9b18-8e4edaaa2e14""}",qwen-plus,2026-03-24T07:14:55.042Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0003_sentence01,normal,prompt2,EXPLANATION,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""EXPLANATION\""}"",""provider"":""qwen"",""request_id"":""cfb5b310-e155-445e-9175-d190b883cc41""}",qwen-plus,2026-03-24T07:15:53.195Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0003_sentence02,normal,prompt2,EVALUATION,EVALUATION,"{""raw_text"":""{\""label\"":\""EVALUATION\""}"",""provider"":""qwen"",""request_id"":""7d645181-8f28-45f8-9f1d-c0e572af5556""}",qwen-plus,2026-03-24T07:15:54.574Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0003_sentence03,normal,prompt2,RESPONSIBILITY,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""RESPONSIBILITY\""}"",""provider"":""qwen"",""request_id"":""3db102c2-b36f-48ea-94c3-86b0ef7cfc7f""}",qwen-plus,2026-03-24T07:15:55.774Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0003_sentence04,normal,prompt2,APPLICATION,APPLICATION,"{""raw_text"":""{\""label\"":\""APPLICATION\""}"",""provider"":""qwen"",""request_id"":""ad7dbff0-5d3c-428a-b039-c16ac449d302""}",qwen-plus,2026-03-24T07:15:56.950Z
101dbee7-9de2-45d9-aac5-d221bcdce80d,essay0003_sentence05,normal,prompt2,IMPLICATION,RESPONSIBILITY,"{""raw_text"":""{\""label\"":\""IMPLICATION\""}"",""provider"":""qwen"",""request_id"":""5e918009-18b7-4f5e-8a12-5e9b51b1bddb""}",qwen-plus,2026-03-24T07:15:58.205Z
10ce0470-45da-4950-a942-56e9247145f6,essay0001_sentence01,normal,prompt1,CODE,CODE,"{""raw_text"":""{\""label\"":\""CODE\""}"",""provider"":""qwen"",""request_id"":""1721bfc3-32c7-4e38-8731-9f3a04289b51""}",qwen-plus,2026-03-24T07:16:11.445Z
