unit_id,unit_text,label,annotator_count,pct
essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",EXPLANATION,72,90
essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",EVALUATION,6,7.5
essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",IMPLICATION,1,1.3
essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.",APPLICATION,1,1.3
essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,EXPLANATION,42,56.8
essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,APPLICATION,17,23
essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,EVALUATION,9,12.2
essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,RESPONSIBILITY,4,5.4
essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,IMPLICATION,2,2.7
essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,APPLICATION,52,71.2
essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,EXPLANATION,7,9.6
essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,EVALUATION,6,8.2
essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,RESPONSIBILITY,5,6.8
essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,IMPLICATION,3,4.1
essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,EVALUATION,49,67.1
essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,APPLICATION,11,15.1
essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,RESPONSIBILITY,7,9.6
essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,EXPLANATION,4,5.5
essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,IMPLICATION,2,2.7
essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",IMPLICATION,43,58.9
essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",EVALUATION,10,13.7
essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",RESPONSIBILITY,9,12.3
essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",APPLICATION,8,11
essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.",EXPLANATION,3,4.1
essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EXPLANATION,51,75
essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,EVALUATION,11,16.2
essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,RESPONSIBILITY,3,4.4
