session_id,user_id,session_created,unit_id,unit_text,meta_json,phase,manual_label,manual_created,llm_mode,predicted_label,accepted_label,llm_model,llm_created
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0001_sentence01,"AI literacy refers to the set of competencies that enable individuals to critically evaluate, effectively communicate with, and responsibly use artificial intelligence technologies.","{""source"": ""ai_literacy"", ""essay"": 1, ""sentence"": 1, ""sentence_total"": 5}",normal,EXPLANATION,2026-03-24T06:50:33.169Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0001_sentence02,Research shows that people with higher AI literacy tend to make better-informed decisions when interacting with AI-powered systems.,"{""source"": ""ai_literacy"", ""essay"": 1, ""sentence"": 2, ""sentence_total"": 5}",normal,EXPLANATION,2026-03-24T06:50:46.854Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0001_sentence03,Educational institutions should integrate AI literacy into their core curriculum starting from middle school.,"{""source"": ""ai_literacy"", ""essay"": 1, ""sentence"": 3, ""sentence_total"": 5}",normal,APPLICATION,2026-03-24T06:50:50.998Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0001_sentence04,Teachers can leverage AI-powered tools to create personalized learning experiences and adaptive assessments for their students.,"{""source"": ""ai_literacy"", ""essay"": 1, ""sentence"": 4, ""sentence_total"": 5}",normal,EVALUATION,2026-03-24T06:51:00.218Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0001_sentence05,"As AI continues to advance, the gap between AI-literate and AI-illiterate populations may create new forms of digital inequality.","{""source"": ""ai_literacy"", ""essay"": 1, ""sentence"": 5, ""sentence_total"": 5}",normal,IMPLICATION,2026-03-24T06:51:29.234Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0002_sentence01,Machine learning algorithms work by identifying patterns in large datasets and using those patterns to make predictions or decisions.,"{""source"": ""ai_literacy"", ""essay"": 2, ""sentence"": 1, ""sentence_total"": 5}",normal,EXPLANATION,2026-03-24T06:53:05.962Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0002_sentence02,"While AI chatbots can handle routine customer inquiries efficiently, they often struggle with nuanced or emotionally sensitive conversations.","{""source"": ""ai_literacy"", ""essay"": 2, ""sentence"": 2, ""sentence_total"": 5}",normal,EVALUATION,2026-03-24T06:53:20.470Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0002_sentence03,Companies must ensure transparency in how they use AI systems to make hiring and promotion decisions.,"{""source"": ""ai_literacy"", ""essay"": 2, ""sentence"": 3, ""sentence_total"": 5}",normal,IMPLICATION,2026-03-24T06:53:30.998Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0002_sentence04,Healthcare professionals are using AI-assisted diagnostic tools to detect diseases earlier and improve patient outcomes.,"{""source"": ""ai_literacy"", ""essay"": 2, ""sentence"": 4, ""sentence_total"": 5}",normal,RESPONSIBILITY,2026-03-24T06:53:35.805Z,,,,,
f54682c8-eace-47d6-8cc0-ae2b702ca85b,A,2026-03-24T06:50:01.516Z,essay0002_sentence05,The widespread adoption of AI in creative industries may fundamentally reshape how we define authorship and intellectual property.,"{""source"": ""ai_literacy"", ""essay"": 2, ""sentence"": 5, ""sentence_total"": 5}",normal,IMPLICATION,2026-03-24T06:53:49.985Z,,,,,
